eventname,EventLongName,EventShortName,LocalisedEventLongName,countrycode,seriesid,EventLocation,geometry
greenbank,Greenbank parkrun,Greenbank,,3,1,Spring Mountain Reserve,POINT (152.922846 -27.739202)
aldingabeach,Aldinga Beach parkrun,Aldinga Beach,,3,1,The Esplanade,POINT (138.444983 -35.287768)
nuriootpa,Nuriootpa parkrun,Nuriootpa,,3,1,"Coulthard Reserve, Nuriootpa",POINT (139.006952 -34.466685)
portlincoln,Port Lincoln parkrun,Port Lincoln,,3,1,Port Lincoln,POINT (135.860614 -34.720803)
newportlakes,Newport Lakes parkrun,Newport Lakes,,3,1,Newport Lakes Reserve,POINT (144.870716 -37.840109)
carisbrooke,Carisbrooke parkrun,Carisbrooke,,3,1,Carisbrooke Park,POINT (138.677757 -34.754627)
oakey,Oakey parkrun,Oakey,,3,1,Oakey Park,POINT (151.720815 -27.429333)
bannockburnbush,Bannockburn Bush parkrun,Bannockburn Bush,,3,1,Bannockburn,POINT (144.142907 -38.063066)
portarlington,Portarlington parkrun,Portarlington,,3,1,The Esplanade,POINT (144.654211 -38.113934)
kangarooisland,Kangaroo Island parkrun,Kangaroo Island,,3,1,Kingscote,POINT (137.640473 -35.655848)
